uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,WidthMax,LengthMax,DiameterMax,HeightMin,WidthMin,LengthMin,DiameterMin,AdditionalDimension,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00014E+18,1000,Dean Mcmah,2020-01-16 11:44:58.379 GMT,Dean Mcmah,2020-01-16 11:46:47 GMT,1000,16-Jan,Dean Mcmah,Misc structure,Legacy verification,Fountain house,Scrub,Pasture (grassland),Upper slope,Low,38.02997058,22.85851757,4210770.457,663113.4082,4,13 (Team A),,North,Petra camera 033,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1000_1.jpg''}}",1.2,6.46,10.6,0,,,,,,,all dimensions include walls,Pottery - Tile - Other architectuaral element,Stone elements are porus limestone,No,,,3 - damaged,Time/Post-depositional,Excavated in the past,2 - good,Topographic or post-depositional/time,Last year,,ATTN: architectural crew for accurate plan,,POINT(663113.408235 4210770.456713)
1.00002E+18,2000,Petra Hermankova,2020-01-17 09:18:37.591 GMT,Faims Admin,2020-01-17 15:32:03 GMT,2000,17-Jan,Petra Hermankova,"Other feature (originally identified as tentative runnel, now temple)?",Legacy verification,"the temple area west of the A houses, 18m SE from the modern day house corner; house Z IV in Tomlinson, needs further cleaning",Scrub,Pasture (grassland),Valley Bottom or Plain,Low,38.02948058,22.85980881,4210718.349,663227.8322,3,0 (Gps C runnel ),NA,North,"g9 camera, 496 facing n, 470 facing se, 502 facing se, 503 facing se","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2000_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2000_2.jpg''}}",0.2,1.5,3.5,0,,,,,,,"rectangular shape, facing east-west exactly, in the middle the cistern on the east and the fountain house on the southwest",Pottery - Tile,,Yes,,,4 - seriously damaged,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,"bring the clearing squad, do a little section to better understand the situation.",,POINT(663227.832209 4210718.349075)
1.00002E+18,2001,Petra Hermankova,2020-01-17 09:51:01.379 GMT,Petra Hermankova,2020-01-17 09:51:32 GMT,2001,17-Jan,Petra Hermankova,Other feature (well),Legacy verification,"15 metres southeast the modern house, between the cistern in the east and the temple in the west but closer to the road than feature 2000, top level with ground, 2 layers of ashlars with maintenance footholes in limestone. 30-40 m deep max",Perennial agriculture (e.g orchard or vineyard) (olive grove),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,Low,38.02950879,22.86050055,4210722.695,663288.4856,3,0 (well),NA,South,"504, facing se, 505 facing ne maintenance hole, 506 facing se maintenance holes opposite side","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2001_1.jpg''}}",0.05,1.25,1.92,NA,,,,,"30 (more than 30m, rock took 4.5 s to fall from the top to the bottom)",depth,"rectangular well, aligned with ashlar stones going 1.5 deep and then the smaller unworked stones start, no water observed, only mud/deposit",Pottery - Tile,,No,,,2 - minor damage,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2001_1.jpg''}}",POINT(663288.485567 4210722.694798)
1.00002E+18,2002,Petra Hermankova,2020-01-17 10:13:26.182 GMT,Petra Hermankova,2020-01-17 10:13:33 GMT,2002,17-Jan,Petra Hermankova,Cistern stairs,Legacy verification,"large staircase to the cistern, west to olive grove and 50m south of modern road, stairs are between 15-20 cm high, staircase facing south",Perennial agriculture (e.g orchard or vineyard),Scrub,Valley Bottom or Plain,Low,38.02996439,22.86093024,4210774.006,663325.1892,3,"0 (cistern stairs ne #1, se #2)",N/A,North,"507 action, 508 s facing","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2002_1.jpg''}}",NA,1.5,7.7,NA,,,,,,,"rectangular staircase, 0.55 m the top stair, with 0.08 m edge width, 1.1 cm length, 0.3 height, large ashlar stones worked smoothly, see image for dimensions, 12 intact stairs to the entrance; 1.8 height of the corridor / tunnel; ",Lithics - Pottery - Tile,,Yes,,,2 - minor damage,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2002_1a.jpg''}}",POINT(663325.189226 4210774.006189)
1.00002E+18,2003,Petra Hermankova,2020-01-17 11:46:24.209 GMT,Petra Hermankova,2020-01-17 11:47:08 GMT,2003,17-Jan,Petra Hermankova,Other feature,Legacy verification,eastern cistern,Forest,Scrub,Valley Bottom or Plain,Low,38.02942763,22.86136168,4210715.202,663364.2504,3,0 (cistern east),N/A,Southwest,"509 sw,","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2003_1.jpg''}}",20,1.5,17.8,0,,1.3,,,,,"rectangular elongated shape, with deposit on the bottom, opening of a tunnel in the sw part of the opening",Pottery,,No,,,2 - minor damage,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,,,POINT(663364.250413 4210715.20159)
1.00002E+18,2004,Petra Hermankova,2020-01-17 12:01:12.375 GMT,Petra Hermankova,2020-01-17 12:01:12 GMT,2004,17-Jan,Petra Hermankova,Other feature,Legacy verification,central cistern,Scrub,Scrub,Valley Bottom or Plain,Low,38.02941863,22.86137505,4210714.227,663365.4442,3,"0 (cistern center e, w)",N/A,Southwest,"512 w, 516 e, cistern with a surviving central slab, 4 steps footholes carved into E wall for maintenance, see photos","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2004_1.jpg''}}",16 (estimate),4,16.8,0,,2.5,16.1,,,,,Pottery,,No,,,2 - minor damage,Time/Post-depositional,,2 - good,Unknown,Unknown,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/2004_1a.jpg''}}",POINT(663365.444154 4210714.226518)
1.00002E+18,2005,Petra Hermankova,2020-01-17 12:20:48.108 GMT,Petra Hermankova,2020-01-17 12:21:15 GMT,2005,17-Jan,Petra Hermankova,Other feature (cistern west),Legacy verification,"Western cistern, inaccesible",Forest,Scrub,Valley Bottom or Plain,Nil,38.02933935,22.86089785,4210704.591,663323.7348,4,0 (cistern w),N/A,East,"518 ne, covered with 3m tall scrub and trees, fenced","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2005_1.jpg''}}",5 (estimate),5 (estimate),6 (estimate),5 (estimate),,,,,,,"a hole in the ground, overgrown, not accesible, fence",Pottery,,No,,,5 - extinct or near extinct,Time/Post-depositional,,3 - impaired,Unknown,Unknown,,,,POINT(663323.734814 4210704.590673)
1.00002E+18,2006,Petra Hermankova,2020-01-17 12:27:48.774 GMT,Petra Hermankova,2020-01-28 15:04:50 GMT,2006,17-Jan,Petra Hermankova,Isolate architectural member (column drum),Survey,"north west of the middle of the central cistern, simple smooth sides, finished in potentially Doric style, see 2004 for sketch and shape",Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,Low,38.0294179,22.86107288,4210713.614,663338.9233,3,0 (column drum),N/A,South,519 south,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2006_1.jpg''}}",0.4,0.9,0.9,0.9,,,,,,,"simple smooth sides, possibly doric",,,No,,,2 - minor damage,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,,,POINT(663338.92333 4210713.614057)
1.00002E+18,2007,Petra Hermankova,2020-01-20 12:02:11.726 GMT,Petra Hermankova,2020-01-28 15:05:41 GMT,2007,20-Jan,Petra Hermankova,Isolate architectural member (painted architectural piece),Serendipity,"on the way back from survey north to the fountain house, south of the stone outcrop on the top of hill",Forest,Forest,Upper slope,Nil,38.03094261,22.85799387,4210877.402,663065.2864,4,"0 (painted 45, gps c)",,Southeast,"detail, 104-115","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2007_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2007_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/2007_3.jpg''}}",0.05,0.06,0.07,0,,,,,,,,Bricks - Pottery,,Yes,possibly classical,,3 - damaged,Time/Post-depositional,,2 - good,Topographic or post-depositional/time,Unknown,,,,POINT(663065.286408 4210877.401607)
1.00003E+18,1001,Adela Sobotkova,2020-01-22 07:50:52.522 GMT,Adela Sobotkova,2020-01-22 07:51:14 GMT,1001,22-Jan,Adela Sobotkova,Misc structure,Legacy verification,"Four segments possibly linked forming a roughly round structure, regular cut stones protruding to 15 to 30cm high. Approx diameter 24 to 26m.",Scrub,"Other (explain in notes) (clearing in a forest, trodden ground)",Valley Bottom or Plain (shelf in hillside),Low,38.028782,22.856314,4210634.7,662922.6284,1.5,221,,West,613-614(G9),"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/1001_1.jpg''}}",0.15,0.4,0.8,10,,,,8,,,,Pottery - Artefact scatter,ancient and modern pottery,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/1001_1.jpg''}}",3 - damaged,Time/Post-depositional,"firepit in the middle, previous excavations in the 1980s, used as a road",3 - impaired,Topographic or post-depositional/time,Unknown,,Re-excavation would be required to establish the complete dimensions of the structure,,POINT(662922.628411 4210634.6998)
