uuid;identifier;createdBy;createdAtGMT;modifiedBy;modifiedAtGMT;SurveyUnitID;MostRecentlyComputedTotal;Latitude;Longitude;Northing;Easting;Accuracy;LandUse;AgriculturalCondition;Topography;Slope;Visibility;Passability;Drainage;Vegetation;Stoniness;Shade;NumberOfRows;NumberOfWalkers;RowIntervalM;WalkerIntervalM;Walkers;MostRecentlyComputedAncient;MostRecentlyComputedModern;MostRecentlyComputedAC;MostRecentlyComputedHM;MostRecentlyComputedLithic;MostRecentlyComputedDaub;MostRecentlyComputedGlass;MostRecentlyComputedOther;SampleTaken;Date;geospatialcolumn;SamplePhoto
1.00E+18;10001: 0;Adela Sobotkova;2020-01-14 10:56:35.437 GMT;Adela Sobotkova;2020-01-14 10:56:35 GMT;10001;0;22.96902063;38.063313;672734.2526;4214670.092;3;Perennial Agriculture;Partially Fallow;Undulating Landscape;;0-20%;2;1;5;2;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";0;0;0;0;0;0;0;0;No;14/01/2020;POINT(672734.252584 4214670.091776);testrun
1.00E+18;10002: 5;Adela Sobotkova;2020-01-14 11:30:32.696 GMT;Adela Sobotkova;2020-01-14 11:30:32 GMT;10002;5;22.96873931;38.06371158;672708.634;4214713.799;3;Perennial Agriculture;Partially Fallow;Undulating Landscape;;20-40%;2;1;2;4;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";5;0;0;0;0;0;0;0;Yes;14/01/2020;POINT(672708.634029 4214713.799011);testrun
1.00E+18;10003: 20;Adela Sobotkova;2020-01-14 11:37:33.011 GMT;Adela Sobotkova;2020-01-14 11:37:33 GMT;10003;20;22.9683579;38.06399011;672674.5171;4214743.998;3;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;2;1;2;4;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";17;0;3;0;0;0;0;0;Yes;14/01/2020;POINT(672674.517065 4214743.997554);testrun
1.00E+18;10004: 7;Adela Sobotkova;2020-01-14 11:45:47.182 GMT;Adela Sobotkova;2020-01-14 11:45:47 GMT;10004;7;22.96795577;38.06421479;672638.7079;4214768.183;3;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;1;1;2;2;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";7;0;0;0;0;0;0;0;Yes;14/01/2020;POINT(672638.707903 4214768.182837);testrun
1.00E+18;10005: 5;Adela Sobotkova;2020-01-14 11:57:31.505 GMT;Adela Sobotkova;2020-01-14 11:57:31 GMT;10005;5;22.96747353;38.0642681;672596.2747;4214773.203;3;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;1;1;2;2;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";5;0;0;0;0;0;0;0;No;14/01/2020;POINT(672596.274719 4214773.202731);testrun
1.00E+18;10006: 6;Adela Sobotkova;2020-01-14 12:07:21.758 GMT;Adela Sobotkova;2020-01-14 12:07:21 GMT;10006;6;22.96687248;38.06419916;672543.7046;4214764.436;4;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;1;1;3;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";6;0;0;0;0;0;0;0;Yes;14/01/2020;POINT(672543.704603 4214764.435839);testrun
1.00E+18;10007: 6;Adela Sobotkova;2020-01-14 12:15:04.470 GMT;Adela Sobotkova;2020-01-14 12:15:04 GMT;10007;6;22.96636694;38.06399162;672499.839;4214740.466;4;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;2;1;3;3;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";6;0;0;0;0;0;0;0;Yes;14/01/2020;POINT(672499.838979 4214740.465524);testrun
1.00E+18;10008: 8;Adela Sobotkova;2020-01-14 12:21:08.849 GMT;Adela Sobotkova;2020-01-14 12:21:08 GMT;10008;8;22.96582364;38.06397076;672452.2223;4214737.142;16;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;2;1;3;3;2;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";8;0;0;0;0;0;0;0;No;14/01/2020;POINT(672452.222346 4214737.142115);testrun
1.00E+18;10009: 5;Adela Sobotkova;2020-01-14 12:27:10.455 GMT;Adela Sobotkova;2020-01-14 12:27:10 GMT;10009;5;22.96521571;38.06389053;672399.0751;4214727.111;4;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;2;1;2;4;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";4;0;1;0;0;0;0;0;No;14/01/2020;POINT(672399.075116 4214727.110916);testrun
1.00E+18;10010: 4;Adela Sobotkova;2020-01-14 12:34:40.066 GMT;Adela Sobotkova;2020-01-14 12:34:40 GMT;10010;4;22.96463478;38.06369412;672348.5686;4214704.238;4;Perennial Agriculture;Partially Fallow;Undulating Landscape;;40-60%;1;1;5;1;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - Charles Boyd (CB)
4 - Lauren Wood (LW)
5 - Michael Hitches (MH)";4;0;0;0;0;0;0;0;No;14/01/2020;POINT(672348.568579 4214704.237683);testrun
1.00E+18;10011: 17;Adela Sobotkova;2020-01-20 07:24:02.212 GMT;Adela Sobotkova;2020-01-20 07:28:25 GMT;10011;17;22.861826;38.030519;663402.58;4210837.124;1,8;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;3;4;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";17;0;0;0;0;0;0;0;No;20/01/2020;POINT(663402.579996 4210837.123694);
1.00E+18;10012: 2;Adela Sobotkova;2020-01-20 07:29:24.897 GMT;Adela Sobotkova;2020-01-20 07:34:50 GMT;10012;2;22.861849;38.030272;663405.1477;4210809.755;1,8;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";2;0;0;0;0;0;0;0;No;20/01/2020;POINT(663405.147669 4210809.755297);
1.00E+18;10013: 18;Adela Sobotkova;2020-01-20 07:35:04.398 GMT;Adela Sobotkova;2020-01-20 07:38:32 GMT;10013;18;22.861908;38.030021;663410.8841;4210782.006;1,5;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";18;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663410.884063 4210782.006317);
1.00E+18;10017: 12;Adela Sobotkova;2020-01-20 07:52:45.621 GMT;Adela Sobotkova;2020-01-20 07:55:51 GMT;10017;12;22.861392;38.029868;663365.9332;4210764.121;1,5;Pasture;N/A;Undulating Landscape;Gentle;0-20%;1;1;5;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";12;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663365.933228 4210764.121456);Y, focus not great
1.00E+18;10014: 9;Adela Sobotkova;2020-01-20 07:40:35.504 GMT;Adela Sobotkova;2020-01-20 07:43:39 GMT;10014;9;22.861985;38.029765;663418.2115;4210753.734;1,75;Pasture;N/A;Undulating Landscape;Gentle;40-60%;2;1;3;2;1;4;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";9;0;0;0;0;0;0;0;No;20/01/2020;POINT(663418.211517 4210753.734148);
1.00E+18;10015: 4;Adela Sobotkova;2020-01-20 07:45:44.777 GMT;Adela Sobotkova;2020-01-20 07:49:48 GMT;10015;4;22.861735;38.029461;663396.9438;4210719.561;1,5;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;2;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";4;0;0;0;0;0;0;0;No;20/01/2020;POINT(663396.943772 4210719.560763);
1.00E+18;10016: 4;Adela Sobotkova;2020-01-20 07:50:04.808 GMT;Adela Sobotkova;2020-01-20 07:52:13 GMT;10016;4;22.861592;38.02969;663383.8833;4210744.721;1,5;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;4;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";4;0;0;0;0;0;0;0;No;20/01/2020;POINT(663383.883336 4210744.720841);
1.00E+18;20001: 12;Petra Hermankova;2020-01-20 07:50:52.698 GMT;Petra Hermankova;2020-01-20 08:21:04 GMT;20001;12;22.85414167;38.03017833;662728.8634;4210785.842;0,8;Scrub;Partially Fallow;River Terrace;Gentle;60-80%;1;1;3;3;1;5;5;5;5;"1 - Sarah Roach (SR)
2 - Dean Mcmah (DMc)
3 - Samantha Mills (SM)
4 - Reeham Khandkar (RK)
5 - Zed Griseh (ZG)";12;0;0;0;0;0;0;0;No;20/01/2020;POINT(662728.86342 4210785.841513);
1.00E+18;10018: 12;Adela Sobotkova;2020-01-20 07:57:31.241 GMT;Adela Sobotkova;2020-01-20 08:01:55 GMT;10018;12;22.86126;38.030097;663353.8385;4210789.301;1,5;Pasture;N/A;Undulating Landscape;Gentle;40-60%;1;1;5;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";12;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663353.83845 4210789.30091);
1.00E+18;10019: 39;Adela Sobotkova;2020-01-20 08:04:28.062 GMT;Adela Sobotkova;2020-01-20 08:09:16 GMT;10019;39;22.860944;38.030329;663325.587;4210814.49;1,5;Pasture;N/A;Undulating Landscape;Gentle;20-40%;1;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";39;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663325.586953 4210814.489986);
1.00E+18;10020: 93;Adela Sobotkova;2020-01-20 08:10:30.064 GMT;Adela Sobotkova;2020-01-20 08:15:20 GMT;10020;93;22.861016;38.030072;663332.4774;4210786.098;1,5;Pasture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";93;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663332.477445 4210786.097999);Y, focus not great
1.00E+18;10021: 68;Adela Sobotkova;2020-01-20 08:16:14.934 GMT;Adela Sobotkova;2020-01-20 08:21:32 GMT;10021;68;22.86116;38.029822;663345.6721;4210758.609;1,75;Pasture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;3;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";67;0;1;0;0;0;0;0;Yes;20/01/2020;POINT(663345.672085 4210758.609296);Y
1.00E+18;10023: 294;Adela Sobotkova;2020-01-20 08:32:20.996 GMT;Adela Sobotkova;2020-01-20 08:42:40 GMT;10023;294;22.861013;38.02967;663333.1071;4210741.484;1,75;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;60-80%;1;1;2;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";294;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663333.107086 4210741.48404);Y
1.00E+18;10024: 323;Adela Sobotkova;2020-01-20 08:43:44.845 GMT;Adela Sobotkova;2020-01-20 08:52:58 GMT;10024;323;22.860749;38.029661;663309.9549;4210740.022;1,75;Pasture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";323;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663309.954948 4210740.021523);Y
1.00E+18;10025: 231;Adela Sobotkova;2020-01-20 08:53:19.107 GMT;Adela Sobotkova;2020-01-20 08:59:11 GMT;10025;231;22.860451;38.029651;663283.8207;4210738.388;1,75;Pasture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";231;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663283.820737 4210738.388384);Y, focus not great
